Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Link_1,-0.0302848057643456,-4.52393531320816E-06,0.00594957393685053,0,0,0,0.331828686498201,0.000808241305721932,-5.80332408276911E-09,-2.03132622568627E-13,0.0011589135097972,-3.01722852067746E-14,0.00196229017711011,0,0,0,0,0,0,package://arm_urdf_v9_2/meshes/Link_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arm_urdf_v9_2/meshes/Link_1.STL,,link 1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_2,0.0103331234002502,-0.000598697363321798,0.0561348578073925,0,0,0,0.700697516742339,0.000794953398303812,2.65682382804609E-07,-6.87969215638798E-05,0.0010722375212481,9.66711482538216E-07,0.00100538876540219,0,0,0,0,0,0,package://arm_urdf_v9_2/meshes/Link_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arm_urdf_v9_2/meshes/Link_2.STL,,link 2-1,Origin_Joint_1,Axis_Joint_1,Joint_1,continuous,0,0,0,0,0,0,Link_1,0,0,1,,,,,,,,,,,,
Link_3,4.0539384169772E-05,0.183553367420109,-0.00386786170467043,0,0,0,0.31095079206729,0.00314840932480606,-4.91322058052379E-07,1.978766146141E-08,0.000360935445642347,-1.97773336805726E-08,0.00324932031112187,0,0,0,0,0,0,package://arm_urdf_v9_2/meshes/Link_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arm_urdf_v9_2/meshes/Link_3.STL,,link 3-1,Origin_Joint_2,Axis_Joint_2,Joint_2,continuous,0.0301172828624044,0,0.105875,1.5707963267949,0,3.14159265358979,Link_2,0,0,1,,,,,,,,,,,,
Link_4,0.00557438195829975,0.00860227020117105,-0.0120087481595836,0,0,0,0.305527145201257,0.000425947759414365,-1.24940266811648E-06,-3.02422416047081E-07,0.000443321627216414,-4.443738005066E-07,0.000164528775420584,0,0,0,0,0,0,package://arm_urdf_v9_2/meshes/Link_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arm_urdf_v9_2/meshes/Link_4.STL,,link 4-1,Origin_Joint_3,Axis_Joint_3,Joint_3,continuous,0,0.359999982970028,0,0,0,0,Link_3,0,0,1,,,,,,,,,,,,
Link_5,-0.000588872362210918,-0.00025741772654353,0.248519524399998,0,0,0,0.723740513100835,0.00423996365708531,2.59522448669248E-06,-5.95502798682315E-08,0.00403220796475418,-9.64098940991322E-06,0.000802662771149348,0,0,0,0,0,0,package://arm_urdf_v9_2/meshes/Link_5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arm_urdf_v9_2/meshes/Link_5.STL,,link 5-1,Origin_Joint_4,Axis_Joint_4,Joint_4,continuous,0,0,0,3.14159258530409,-1.5707963267949,0,Link_4,0,0,1,,,,,,,,,,,,
Link_6,-0.00161514898342835,-0.00876433756767303,0.000153212322909019,0,0,0,0.403145412504842,0.00033772064266947,-1.19330981234417E-06,-4.39844382668558E-07,0.000325664549256461,3.31424727241275E-06,0.000154123851232555,0,0,0,0,0,0,package://arm_urdf_v9_2/meshes/Link_6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arm_urdf_v9_2/meshes/Link_6.STL,,link 6-2,Origin_Joint_5,Axis_Joint_5,Joint_5,continuous,0,0,0.384,-1.5707963261361,0,-1.56119996703632,Link_5,0,0,1,,,,,,,,,,,,
end_effector,-1.38777878078145E-17,-7.84687981258969E-09,-0.1143,0,0,0,0.231666659443376,0.000252217229635949,-1.29759607577717E-27,-1.89011728495575E-20,0.000252217229635949,-1.03890723499557E-11,0.000100886891854381,0,0,0,0,0,0,package://arm_urdf_v9_2/meshes/end_effector.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_urdf_v9_2/meshes/end_effector.STL,,end-effector-1,Origin_Joint_6,Axis_Joint_6,Joint_6,fixed,0,-0.199188209956366,-0.000601864300433158,1.5707963267949,-1.56119996703631,0,Link_6,0,0,0,,,,,,,,,,,,
